dist,pop_total,pop_urban,hh_total,unimp_total,hh_rural,unimp_rural,urban_share,share_district,share_rural,rank_district,rank_rural,rank_shift
ABIM,144084,52866,39942,1199,24869,791,0.366910968601649,0.030018526863952733,0.03180666693473803,120.0,120.0,0.0
ADJUMANI,297894,52200,54103,1473,43818,1429,0.17523011541017947,0.027225846995545533,0.032612168515222056,124.0,117.0,7.0
AGAGO,307235,62684,67760,7239,53763,6461,0.20402623399026804,0.10683293978748525,0.1201755854398006,88.0,87.0,1.0
ALEBTONG,283509,47873,59384,9119,48899,8085,0.16885883693286632,0.1535598814495487,0.16534080451542976,78.0,79.0,1.0
AMOLATAR,188715,35369,39948,990,31658,614,0.18742018387515566,0.02478221688194653,0.01939478172973656,126.0,130.0,4.0
AMUDAT,203358,34163,42310,10007,34437,8272,0.16799437445293522,0.23651619002599858,0.24020675436303976,58.0,62.0,4.0
AMURIA,251653,23648,47550,1331,42409,1160,0.09397066595669434,0.027991587802313353,0.02735268457167111,122.0,123.0,1.0
AMURU,240814,53025,58410,22858,44722,20078,0.22019068658798907,0.3913370998116761,0.44895129913689014,19.0,17.0,2.0
APAC,221962,64603,52327,1982,36711,1439,0.2910543246141231,0.03787719532937107,0.039198060526817576,115.0,112.0,3.0
ARUA,159722,0,35370,10146,35370,10146,0.0,0.2868532654792197,0.2868532654792197,43.0,52.0,9.0
BUDAKA,281537,102924,52360,2715,32574,1350,0.3655789469945336,0.05185255920550038,0.04144409651869589,107.0,110.0,3.0
BUDUDA,268970,50994,75751,20324,60231,18327,0.1895899170911254,0.2683000884476773,0.30427852766847635,50.0,43.0,7.0
BUGIRI,480345,171501,94209,5066,59184,3691,0.3570371295631265,0.053774055557324674,0.06236482833198162,105.0,105.0,0.0
BUGWERI,211511,64674,46584,984,31301,690,0.30577133104188436,0.0211231324059763,0.022044024152582983,131.0,128.0,3.0
BUHWEJU,167921,31055,35305,16967,28751,14155,0.18493815544214243,0.4805834867582495,0.492330701540816,9.0,10.0,1.0
BUIKWE,520158,388496,137920,17045,33289,5538,0.7468807554627632,0.12358613689095127,0.16636126047643365,83.0,78.0,5.0
BUKEDEA,282864,32685,55960,2229,48802,1862,0.1155502290853555,0.03983202287348106,0.03815417400926192,114.0,113.0,1.0
BUKOMANSIMBI,197568,55642,41689,14330,29350,11690,0.281634677680596,0.34373575763390823,0.3982964224872232,28.0,25.0,3.0
BUKWO,114396,26419,23221,6892,17173,4965,0.230943389629008,0.2968003100641661,0.289116636580679,39.0,51.0,12.0
BULAMBULI,235391,30598,55103,11968,46877,11208,0.12998797745028484,0.2171932562655391,0.23909379866459032,66.0,64.0,2.0
BULIISA,167894,48583,32798,8880,22902,6765,0.28936710067066124,0.2707482163546558,0.2953890489913545,49.0,46.0,3.0
BUNDIBUGYO,264778,89931,58755,24143,38201,17761,0.33964679845002227,0.4109097098119309,0.4649354728933798,16.0,15.0,1.0
BUNYANGABU,219012,113226,48988,12678,22847,6730,0.5169853706646211,0.25879807299746876,0.29456821464524885,52.0,48.0,4.0
BUSHENYI,283392,121977,69236,21814,36782,14039,0.4304179369918699,0.31506730602576694,0.3816812571366429,33.0,28.0,5.0
BUSIA,412671,114031,93582,5643,64211,4048,0.2763242389215622,0.0603000577034045,0.06304215788572051,104.0,104.0,0.0
BUTALEJA,312771,93006,65776,1636,45645,1078,0.29736132825613626,0.024872293845779617,0.023617044583196408,125.0,127.0,2.0
BUTAMBALA,146516,60447,31208,5681,18053,3562,0.41256245051734963,0.18203665726736734,0.19730792666038885,70.0,70.0,0.0
BUTEBO,171433,53530,39318,2611,27597,1870,0.3122502668681059,0.06640724350170406,0.06776098851324419,101.0,103.0,2.0
BUVUMA,110832,26994,35410,19322,25443,12465,0.2435578172368991,0.5456650663654335,0.4899186416696144,6.0,11.0,5.0
BUYENDE,403486,87733,83497,3909,64288,2660,0.2174375319094095,0.046816053271375016,0.04137630662020906,108.0,111.0,3.0
DOKOLO,215625,62936,49019,4608,34556,3276,0.29187710144927537,0.09400436565413411,0.0948026391943512,94.0,93.0,1.0
GOMBA,199120,30187,49611,19144,41662,16868,0.15160204901566895,0.38588216322992885,0.40487734626278143,22.0,22.0,0.0
GULU,135373,0,28213,4848,28213,4848,0.0,0.171835678587885,0.171835678587885,72.0,76.0,4.0
HOIMA,257544,18211,62267,18095,57672,17536,0.07071024756934738,0.29060336936097775,0.30406436398945763,42.0,44.0,2.0
IBANDA,309466,176028,72861,25955,30036,11540,0.5688120827489934,0.3562262390030332,0.38420561992275937,25.0,27.0,2.0
IGANGA,426958,101371,101789,2102,75801,1652,0.23742616369760022,0.020650561455560032,0.021793907732087968,132.0,129.0,3.0
ISINGIRO,635077,152985,148301,58350,111395,44961,0.24089204931055605,0.393456551203296,0.4036177566318057,17.0,23.0,6.0
JINJA,280905,135269,64760,2242,31029,1043,0.48154714227229845,0.0346201358863496,0.03361371620097328,117.0,116.0,1.0
KAABONG,264631,52824,43732,9374,34685,7873,0.19961380185994837,0.21435104728802706,0.22698572870116765,67.0,67.0,0.0
KABALE,285588,22666,66752,10577,61881,9492,0.07936607980727481,0.15845218120805368,0.15339118630920637,76.0,81.0,5.0
KABAROLE,230368,57114,58384,18776,43376,14222,0.24792505903597722,0.3215949575226089,0.32787716709701215,31.0,36.0,5.0
KABERAMAIDO,140986,12178,28348,846,25253,764,0.08637737080277474,0.029843375194017214,0.030253831227972913,121.0,121.0,0.0
KAGADI,471111,157539,106203,30942,69731,22234,0.334398899622382,0.2913477020423152,0.31885388134402204,41.0,38.0,3.0
KAKUMIRO,428176,108524,103613,24639,76226,20061,0.25345652255147416,0.237798345767423,0.26317791829559467,57.0,58.0,1.0
KALAKI,149736,16071,30511,1045,26555,858,0.10732889886199712,0.03424994264363672,0.032310299378648086,118.0,119.0,1.0
KALANGALA,74411,7609,26564,14790,24182,14650,0.10225638682452863,0.5567685589519651,0.6058225126126872,5.0,4.0,1.0
KALIRO,286397,56955,69865,1534,54909,1010,0.19886730657094873,0.021956630644815,0.018394070188857928,130.0,132.0,2.0
KALUNGU,221569,53985,50191,11159,36587,9378,0.24364870536943345,0.2223306967384591,0.256320551015388,63.0,60.0,3.0
KAMULI,540252,157677,124246,2935,84915,1571,0.29185824393061016,0.02362249086489706,0.01850085379497144,129.0,131.0,2.0
KAMWENGE,337167,107385,76274,23788,51345,16036,0.31849202324070863,0.3118756063665207,0.31231862888304607,36.0,40.0,4.0
KANUNGU,310062,112313,69518,21842,43874,14865,0.36222755448910215,0.3141920078253114,0.3388111409946665,34.0,33.0,1.0
KAPCHORWA,133621,58033,30498,6525,17562,4091,0.43431047514986415,0.21394845563643516,0.23294613369775652,68.0,65.0,3.0
KAPELEBYONG,143536,21582,31529,319,26436,279,0.15035949169546317,0.010117669447175615,0.010553790285973672,134.0,134.0,0.0
KARENGA,100375,25730,19334,2092,13673,1960,0.2563387297633873,0.10820316540808937,0.14334820449060193,86.0,82.0,4.0
KASESE,853831,342865,193514,44094,108397,34366,0.4015607304021522,0.22785948303481918,0.3170382944177422,60.0,39.0,21.0
KASSANDA,314008,65858,84369,28606,65497,24996,0.20973350997426818,0.3390581848783321,0.38163580011298226,29.0,29.0,0.0
KATAKWI,234332,20432,50864,507,45717,453,0.08719253025621768,0.00996775715633847,0.009908786665791718,135.0,135.0,0.0
KAYUNGA,439175,133070,104678,8360,71049,6496,0.302999943075084,0.07986396377462313,0.09142985826682994,98.0,96.0,2.0
KAZO,208898,41399,42433,26187,34101,21669,0.1981780581910789,0.6171376051657907,0.6354359109703528,2.0,3.0,1.0
KIBAALE,237649,22788,55887,21112,50048,19585,0.09588931575558912,0.37776227029541753,0.3913243286445013,23.0,26.0,3.0
KIBOGA,183255,57169,47253,14757,31764,10697,0.31196420288668797,0.31229763189638754,0.33676489107165347,35.0,34.0,1.0
KIBUKU,249441,52650,54320,2010,41759,1433,0.2110719568956186,0.03700294550810015,0.03431595584185445,116.0,115.0,1.0
KIKUUBE,379547,29788,92335,32016,84588,30059,0.07848303372177885,0.346737423512211,0.35535773395753534,27.0,32.0,5.0
KIRUHURA,203502,39385,43180,22150,34095,19207,0.19353618146259005,0.5129689671144049,0.5633377328053967,8.0,6.0,2.0
KIRYANDONGO,364872,105546,82093,8865,57271,6007,0.2892685654147208,0.10798728271594411,0.10488729025161077,87.0,91.0,4.0
KISORO,433662,145542,80206,18064,53702,11956,0.3356116053516333,0.2252200583497494,0.22263602845331645,61.0,68.0,7.0
KITAGWENDA,184947,63111,40346,11959,26206,8587,0.3412383007023634,0.29641104446537453,0.32767305197283064,40.0,37.0,3.0
KITGUM,239655,65200,49817,3524,35390,3362,0.2720577496818343,0.07073890439006765,0.09499858717151738,100.0,92.0,8.0
KOBOKO,271781,88588,51358,16335,35914,13382,0.32595361706668236,0.3180614509910822,0.3726123517291307,32.0,30.0,2.0
KOLE,294301,98183,64375,5775,42218,3948,0.3336142248922022,0.08970873786407767,0.09351461461935667,96.0,95.0,1.0
KOTIDO,219734,82541,45621,2830,28028,2129,0.3756405472070776,0.06203283575546349,0.0759597545311831,103.0,101.0,2.0
KUMI,286992,85730,58393,3671,40063,2748,0.2987191280593187,0.06286712448409912,0.06859196765094976,102.0,102.0,0.0
KWANIA,216125,32484,48861,1478,41106,1000,0.1503019086176981,0.030249073903522238,0.024327348805527175,119.0,126.0,7.0
KWEEN,129277,20754,26960,6961,22084,6312,0.16053899765619561,0.2581973293768546,0.28581778663285634,53.0,53.0,0.0
KYANKWANZI,278432,86271,63912,16412,43687,12106,0.3098458510516033,0.25679058705720365,0.2771076063817612,54.0,56.0,2.0
KYEGEGWA,501120,121937,115665,66230,85831,48299,0.24332894316730524,0.5726019106903558,0.5627220934161317,4.0,7.0,3.0
KYENJOJO,543998,201734,130853,61597,80807,38837,0.3708359221908904,0.47073433547568644,0.4806143032163055,10.0,12.0,2.0
KYOTERA,275917,82786,72010,27066,48928,21393,0.3000395046336398,0.3758644632689904,0.43723430346631786,24.0,19.0,5.0
LAMWO,213156,34580,46451,5393,38572,5169,0.1622286025258496,0.11610083744160513,0.13400912579072902,84.0,84.0,0.0
LIRA,242216,16851,55153,6926,51146,6365,0.06957013574660634,0.12557793773684114,0.12444765964102765,82.0,86.0,4.0
LUUKA,298639,71950,58660,824,44317,574,0.24092633581012526,0.014047050801227413,0.012952140262201864,133.0,133.0,0.0
LUWEERO,616242,250704,167441,15107,96098,10602,0.4068271880202907,0.09022282475618278,0.1103248766883806,95.0,90.0,5.0
LWENGO,325263,72638,68671,31421,51950,26964,0.22332082038227527,0.4575585035895793,0.5190375360923966,11.0,8.0,3.0
LYANTONDE,133017,26362,28627,16607,21497,14820,0.19818519437365148,0.5801166730708771,0.6893985207238219,3.0,2.0,1.0
MADI-OKOLLO,178051,22343,38342,9499,33627,8539,0.12548651790779047,0.24774398831568514,0.2539328515776013,56.0,61.0,5.0
MANAFWA,186917,56583,46997,3507,33174,2562,0.30271724883236945,0.07462178436921506,0.07722915536263339,99.0,100.0,1.0
MARACHA,234712,56245,46476,12654,35364,10090,0.23963410477521388,0.27226955848179707,0.28531840289560007,47.0,54.0,7.0
MASAKA,115455,0,31842,9887,31842,9887,0.0,0.31050185289868726,0.31050185289868726,37.0,41.0,4.0
MASINDI,342635,140139,86289,8597,49130,4654,0.4090037503465787,0.09963031209076476,0.09472827193161001,91.0,94.0,3.0
MAYUGE,577563,86256,119368,16841,100500,14345,0.14934474680684184,0.14108471282085652,0.1427363184079602,79.0,83.0,4.0
MBALE,290356,37937,58522,6210,51080,5655,0.13065684883384535,0.1061139400567308,0.11070869224745497,89.0,89.0,0.0
MBARARA,174039,66644,40747,17191,24651,10342,0.382925666086337,0.42189609050973076,0.41953673278974485,13.0,20.0,7.0
MITOOMA,226009,44171,51093,22579,40772,18972,0.19543911968107464,0.4419196367408451,0.46531933679976456,12.0,14.0,2.0
MITYANA,407386,189849,110604,27965,58336,17187,0.46601748710068586,0.25283895699974684,0.29462081733406476,55.0,47.0,8.0
MOROTO,103639,21938,26047,3477,20602,3323,0.21167707137274577,0.13348946135831383,0.1612950199009805,80.0,80.0,0.0
MOYO,109572,24750,23257,560,18344,531,0.22587887416493266,0.024078771982628887,0.028946794592237243,128.0,122.0,6.0
MPIGI,326690,102240,81935,18202,55431,13294,0.3129572377483241,0.22215170562030878,0.23982969818332703,64.0,63.0,1.0
MUBENDE,522015,176470,132046,54706,84060,41870,0.33805541986341386,0.41429501840267785,0.49809659766833214,15.0,9.0,6.0
MUKONO,929224,483913,273966,36311,130303,22976,0.520771095021222,0.1325383441740946,0.17632748286685648,81.0,74.0,7.0
NABILATUK,136785,20874,28266,1133,23386,1046,0.15260445224257047,0.040083492535201305,0.04472761481228085,113.0,109.0,4.0
NAKAPIRIPIRIT,111681,6064,26984,5984,25874,5885,0.054297508081052284,0.22176104358138157,0.22744840380304554,65.0,66.0,1.0
NAKASEKE,251398,51971,67563,11404,52794,9275,0.20672797715176733,0.16879061024525258,0.17568284274728188,74.0,75.0,1.0
NAKASONGOLA,226074,65816,51711,11948,34472,9281,0.29112591452356307,0.2310533542186382,0.2692330006962172,59.0,57.0,2.0
NAMAYINGO,266716,74467,59423,23366,43705,19381,0.27919959807435624,0.3932147484980563,0.4434504061320215,18.0,18.0,0.0
NAMISINDWA,257346,62716,63640,13580,47100,10421,0.24370303016172778,0.21338780641106223,0.22125265392781315,69.0,69.0,0.0
NAMUTUMBA,311339,70478,71572,3323,54525,2769,0.22637061209806675,0.046428771027776226,0.05078404401650619,109.0,106.0,3.0
NAPAK,211830,33133,41751,1858,34828,1591,0.15641316149742718,0.0445019280975306,0.04568163546571724,110.0,108.0,2.0
NEBBI,299398,93832,63859,14245,43633,11231,0.3134022271357858,0.22306957515776946,0.25739692434625167,62.0,59.0,3.0
NGORA,213777,46412,32321,1364,24885,1187,0.21710473998606025,0.042201664552458155,0.047699417319670485,111.0,107.0,4.0
NTOROKO,114858,43365,20180,6829,12312,5573,0.37755315258841354,0.338404360753221,0.4526478232618584,30.0,16.0,14.0
NTUNGAMO,552786,220340,125001,48582,72821,29017,0.3985990962144483,0.38865289077687376,0.39847022150203926,20.0,24.0,4.0
NWOYA,220593,44595,53086,22251,42510,20352,0.2021596333519196,0.4191500583958106,0.47875793930839805,14.0,13.0,1.0
OBONGI,142983,12767,30171,1604,26619,867,0.08929033521467587,0.0531636339531338,0.032570720162290095,106.0,118.0,12.0
OMORO,207339,24821,46805,7999,41004,7490,0.11971216220778531,0.1709005448135883,0.18266510584333237,73.0,73.0,0.0
OTUKE,161069,32911,33987,3481,26698,2323,0.20432857967703283,0.10242151410833554,0.08701026294104428,90.0,99.0,9.0
OYAM,477464,80851,110658,18046,91357,15203,0.16933423252852572,0.16307903631007248,0.16641308274133346,75.0,77.0,2.0
PADER,240159,49503,52627,8257,40793,7548,0.20612594156371403,0.15689665000855074,0.18503174564263478,77.0,72.0,5.0
PAKWACH,206961,45654,42909,11983,33048,9705,0.22059228550306578,0.2792654221725046,0.2936637618010167,46.0,50.0,4.0
PALLISA,334697,81985,60882,2486,44881,1656,0.24495289769552758,0.04083308695509346,0.036897573583476305,112.0,114.0,2.0
RAKAI,346885,82923,73169,53853,55639,40639,0.23905040575406836,0.7360084188659132,0.7304049317924477,1.0,1.0,0.0
RUBANDA,249454,105020,63754,16963,36800,10461,0.4209994628268138,0.26606957994792485,0.28426630434782607,51.0,55.0,4.0
RUBIRIZI,168211,22616,36117,9807,30448,9254,0.13445018458959282,0.27153418057978235,0.3039280084077772,48.0,45.0,3.0
