excel_row,name,indent,level,in_district,in_county,in_subcounty,population,p0_4,unimproved,improved,households,share_under5,unimproved_share
7,ABIM,0,district,ABIM,,,144084,23539,1199,38743,39942,0.16336997862358069,0.030018526863952733
8,LABWOR COUNTY,1,county,ABIM,LABWOR COUNTY,,144084,23539,1199,38743,39942,0.16336997862358069,0.030018526863952733
9,ABIM,2,subcounty,ABIM,LABWOR COUNTY,ABIM,8954,1453,56,2170,2226,0.16227384409202592,0.025157232704402517
10,ABONGEPACH,3,parish,ABIM,LABWOR COUNTY,ABIM,986,157,1,256,257,0.1592292089249493,0.0038910505836575876
11,ADWAL,3,parish,ABIM,LABWOR COUNTY,ABIM,1308,223,51,339,390,0.1704892966360856,0.13076923076923078
12,ANINATA,3,parish,ABIM,LABWOR COUNTY,ABIM,2104,352,0,433,433,0.16730038022813687,0.0
13,AREMBWOLA,3,parish,ABIM,LABWOR COUNTY,ABIM,1114,193,0,279,279,0.1732495511669659,0.0
14,KANU,3,parish,ABIM,LABWOR COUNTY,ABIM,2026,314,1,470,471,0.1549851924975321,0.0021231422505307855
15,OIMA,3,parish,ABIM,LABWOR COUNTY,ABIM,1416,214,3,393,396,0.15112994350282485,0.007575757575757576
16,ABIM TOWN COUNCIL,2,subcounty,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,8636,1147,20,2008,2028,0.1328161185734136,0.009861932938856016
17,AGWATA WARD,3,parish,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,1868,206,1,448,449,0.11027837259100642,0.0022271714922048997
18,ANGWEE WARD,3,parish,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,2813,358,2,677,679,0.12726626377532882,0.0029455081001472753
19,ORINGOWELO WARD,3,parish,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,1978,318,16,433,449,0.16076845298281092,0.035634743875278395
20,WIAWER WARD,3,parish,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,1977,265,1,450,451,0.1340414769853313,0.0022172949002217295
21,ABUK TOWN COUNCIL,2,subcounty,ABIM,LABWOR COUNTY,ABUK TOWN COUNCIL,4137,645,25,1254,1279,0.1559100797679478,0.019546520719311962
22,ABUK WARD,3,parish,ABIM,LABWOR COUNTY,ABUK TOWN COUNCIL,478,71,4,181,185,0.14853556485355648,0.021621621621621623
23,ARENGETITHOE WARD,3,parish,ABIM,LABWOR COUNTY,ABUK TOWN COUNCIL,513,63,0,194,194,0.12280701754385964,0.0
24,AWOKOLEM WARD,3,parish,ABIM,LABWOR COUNTY,ABUK TOWN COUNCIL,479,78,1,161,162,0.162839248434238,0.006172839506172839
25,CEMEE WARD,3,parish,ABIM,LABWOR COUNTY,ABUK TOWN COUNCIL,1071,179,0,320,320,0.16713352007469653,0.0
26,DISTRICT QUARTERS WARD,3,parish,ABIM,LABWOR COUNTY,ABUK TOWN COUNCIL,578,75,0,116,116,0.12975778546712802,0.0
27,OREE WARD,3,parish,ABIM,LABWOR COUNTY,ABUK TOWN COUNCIL,1018,179,20,282,302,0.17583497053045186,0.06622516556291391
28,ALEREK,2,subcounty,ABIM,LABWOR COUNTY,ALEREK,5454,885,9,1551,1560,0.16226622662266227,0.0057692307692307696
29,KATHIMONGOR,3,parish,ABIM,LABWOR COUNTY,ALEREK,942,134,0,298,298,0.14225053078556263,0.0
30,KULODWONG,3,parish,ABIM,LABWOR COUNTY,ALEREK,1312,213,7,384,391,0.16234756097560976,0.017902813299232736
31,LOYOROIT,3,parish,ABIM,LABWOR COUNTY,ALEREK,1483,248,2,378,380,0.1672285906945381,0.005263157894736842
32,OCOM,3,parish,ABIM,LABWOR COUNTY,ALEREK,255,32,0,110,110,0.12549019607843137,0.0
33,OLEM,3,parish,ABIM,LABWOR COUNTY,ALEREK,1462,258,0,381,381,0.17647058823529413,0.0
34,ALEREK TOWN COUNCIL,2,subcounty,ABIM,LABWOR COUNTY,ALEREK TOWN COUNCIL,6168,951,4,1951,1955,0.15418287937743191,0.0020460358056265983
35,KAWANG WARD,3,parish,ABIM,LABWOR COUNTY,ALEREK TOWN COUNCIL,1760,288,0,524,524,0.16363636363636364,0.0
36,OTUMPILI WARD,3,parish,ABIM,LABWOR COUNTY,ALEREK TOWN COUNCIL,3718,553,4,1229,1233,0.14873587950511027,0.0032441200324412004
37,UNIVERSITY WARD,3,parish,ABIM,LABWOR COUNTY,ALEREK TOWN COUNCIL,690,110,0,198,198,0.15942028985507245,0.0
38,ATUNGA,2,subcounty,ABIM,LABWOR COUNTY,ATUNGA,6384,1028,5,1796,1801,0.16102756892230577,0.00277623542476402
39,APOK,3,parish,ABIM,LABWOR COUNTY,ATUNGA,566,67,3,240,243,0.11837455830388692,0.012345679012345678
40,ATUNGA,3,parish,ABIM,LABWOR COUNTY,ATUNGA,1470,235,0,315,315,0.1598639455782313,0.0
41,ORYEOTYENE,3,parish,ABIM,LABWOR COUNTY,ATUNGA,2273,356,1,641,642,0.15662120545534536,0.001557632398753894
42,OTALABAR,3,parish,ABIM,LABWOR COUNTY,ATUNGA,2075,370,1,600,601,0.1783132530120482,0.0016638935108153079
43,AWACH,2,subcounty,ABIM,LABWOR COUNTY,AWACH,15834,2645,199,4175,4374,0.16704559808008085,0.045496113397347965
44,AWACH,3,parish,ABIM,LABWOR COUNTY,AWACH,3301,504,10,897,907,0.15268100575583157,0.011025358324145534
45,BARLYECH,3,parish,ABIM,LABWOR COUNTY,AWACH,2359,426,18,656,674,0.18058499364137345,0.026706231454005934
46,GOTAPWOU,3,parish,ABIM,LABWOR COUNTY,AWACH,3441,598,105,799,904,0.1737866899157222,0.1161504424778761
47,OPOROTH,3,parish,ABIM,LABWOR COUNTY,AWACH,6733,1117,66,1823,1889,0.16589930194564087,0.03493912122816305
48,CAMKOK,2,subcounty,ABIM,LABWOR COUNTY,CAMKOK,3109,548,30,980,1010,0.17626246381473143,0.0297029702970297
49,ANGOROM,3,parish,ABIM,LABWOR COUNTY,CAMKOK,708,126,13,250,263,0.17796610169491525,0.049429657794676805
50,KOTHIDANY,3,parish,ABIM,LABWOR COUNTY,CAMKOK,509,78,0,191,191,0.15324165029469547,0.0
51,OKILILING,3,parish,ABIM,LABWOR COUNTY,CAMKOK,1892,344,17,539,556,0.18181818181818182,0.030575539568345324
52,KIRU TOWN COUNCIL,2,subcounty,ABIM,LABWOR COUNTY,KIRU TOWN COUNCIL,8121,1131,35,2099,2134,0.13926856298485407,0.01640112464854733
53,KALAKALA WARD,3,parish,ABIM,LABWOR COUNTY,KIRU TOWN COUNCIL,2697,396,35,523,558,0.1468298109010011,0.06272401433691756
54,KIRU WARD,3,parish,ABIM,LABWOR COUNTY,KIRU TOWN COUNCIL,1786,215,0,437,437,0.12038073908174692,0.0
55,OYARO WARD,3,parish,ABIM,LABWOR COUNTY,KIRU TOWN COUNCIL,3638,520,0,1139,1139,0.14293567894447498,0.0
56,LOTUKEI,2,subcounty,ABIM,LABWOR COUNTY,LOTUKEI,12032,1885,46,4316,4362,0.1566655585106383,0.01054562127464466
57,AOJAPIRO,3,parish,ABIM,LABWOR COUNTY,LOTUKEI,2449,369,9,987,996,0.15067374438546347,0.009036144578313253
58,ARIDAI,3,parish,ABIM,LABWOR COUNTY,LOTUKEI,1578,251,0,582,582,0.1590621039290241,0.0
