#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.306767,31.240021,2022 Mar 08 12:00:00 AM,No,,Uganda,Kikuube,Buhimba,,,Non-Functional,572.0,250.0,False,,KIKUUBE
1.1709914,30.9956055,2022 Mar 05 12:00:00 AM,No,,Uganda,Kikuube,Kabwoya,,,Non-Functional,663.0,250.0,False,,KIKUUBE
1.3025104,31.2137204,2022 Mar 04 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,010",,Non-Functional,677.0,300.0,False,,KIKUUBE
1.3340028,31.237235,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,013",Community Management,Non-Functional,838.0,300.0,False,,KIKUUBE
1.3561644,31.1549543,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,011",,Non-Functional,514.0,300.0,False,,KIKUUBE
1.4361753,31.1888889,2022 Mar 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,"2,018",,Non-Functional,104.0,300.0,False,,KIKUUBE
1.339107,30.9812933,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,,,Non-Functional,787.0,300.0,False,,KIKUUBE
1.2122996,30.8008676,2022 Mar 04 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,015",,Non-Functional,1375.0,300.0,False,,KIKUUBE
1.1777126,30.7942256,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Non-Functional,3891.0,300.0,False,,KIKUUBE
1.236885,31.0763883,2022 Feb 28 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,,Community Management,Non-Functional,908.0,300.0,False,,KIKUUBE
1.3107723,31.1747972,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,019",Community Management,Non-Functional,999.0,300.0,False,,KIKUUBE
1.1689931,30.7894414,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,4932.0,300.0,False,,KIKUUBE
1.2547546,30.7883841,2022 Mar 02 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,017",Community Management,Non-Functional,1511.0,300.0,False,,KIKUUBE
1.1853508,30.7847743,2022 Mar 06 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,019",Community Management,Non-Functional,3247.0,300.0,False,,KIKUUBE
1.21516347,30.79986299,2010 May 05 12:00:00 AM,No,,Uganda,Kikuube,Kyangwali,"1,992",Other Institutional Management,Non-Functional,1327.0,50.0,False,,KIKUUBE
1.3897462,31.12302376,2010 May 08 12:00:00 AM,No,,Uganda,Kikuube,Kiziranfumbi,"1,991",Community Management,Non-Functional,1423.0,300.0,False,,KIKUUBE
1.2935334,31.339125,2022 Mar 01 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,012",Community Management,Non-Functional,874.0,300.0,False,,KIKUUBE
1.1561353,30.7301797,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",,Non-Functional,1372.0,300.0,False,,KIKUUBE
1.3829167,31.1229483,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,021",,Non-Functional,1471.0,300.0,False,,KIKUUBE
1.1804315,30.7437365,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Non-Functional,482.0,300.0,False,,KIKUUBE
1.2265211,30.727978,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,009",Community Management,Non-Functional,706.0,300.0,False,,KIKUUBE
1.3003961,31.1252639,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,,,Functional,885.0,300.0,False,,KIKUUBE
1.1186441,30.7073651,2022 Mar 13 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",Community Management,Non-Functional,322.0,300.0,False,,KIKUUBE
1.220957,30.8986349,2022 Mar 04 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,016",,Non-Functional,2448.0,300.0,False,,KIKUUBE
1.1641375,30.7651809,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,017",Community Management,Non-Functional,2309.0,300.0,False,,KIKUUBE
1.36178351,31.31251903,2010 May 07 12:00:00 AM,No,,Uganda,Kikuube,Buhimba Town Council,"2,004",Community Management,Non-Functional,928.0,300.0,False,,KIKUUBE
1.1648267,30.8025033,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,019",,Functional,5583.0,300.0,False,,KIKUUBE
1.3430778,31.1231119,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,015",,Non-Functional,808.0,300.0,False,,KIKUUBE
1.2397764,30.7915736,2022 Mar 05 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",Community Management,Non-Functional,1076.0,300.0,False,,KIKUUBE
1.3262005,31.2068243,2022 Mar 03 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,021",,Non-Functional,2023.0,300.0,False,,KIKUUBE
1.2678078,31.1849178,2022 Mar 13 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,015",Community Management,Non-Functional,416.0,300.0,False,,KIKUUBE
1.3383004,31.2200637,2022 Mar 05 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,021",Community Management,Non-Functional,1237.0,300.0,False,,KIKUUBE
1.3052016,31.3034516,2022 Feb 28 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,,,Non-Functional,688.0,300.0,False,,KIKUUBE
1.1716811,30.7984463,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Non-Functional,5107.0,300.0,False,,KIKUUBE
1.4468099,30.916352,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,,,Non-Functional,1177.0,300.0,False,,KIKUUBE
1.1604899,30.80155,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,6562.0,300.0,False,,KIKUUBE
