#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.43513084,31.17975357,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,001",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.4445347,31.20167869,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"1,998",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.4389186,31.16715365,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,001",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.43581793,31.17956435,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,001",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.43871995,31.16750422,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,001",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.4477977,31.1885938,2010 Jul 01 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,000",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.4451502,31.20243296,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,000",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.44664996,31.18945727,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,000",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.43701094,31.17879069,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,001",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.44778815,31.18796485,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,000",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.44503159,31.20110325,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"1,998",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.43720968,31.17854794,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,001",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.447192,31.18880093,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,000",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.44268191,31.20291111,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"1,998",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.43749004,31.17859264,2010 May 10 12:00:00 AM,Yes,Public Tapstand,Uganda,Kikuube,Bugambe,"2,001",Private Operator/Delegated Management,"Functional, needs repair",,,False,,KIKUUBE
1.2457213,31.0955143,2022 Mar 03 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,019",Community Management,Functional,539.0,300.0,False,,KIKUUBE
1.22696784,30.9786891,2010 May 06 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,002",Community Management,"Functional, needs repair",0.0,300.0,False,,KIKUUBE
