fig_no,district,parish_village,capacity,present_at_k,lat,lon
1,Kikuube,Kabwoya,300.0,"5,10,20",1.339107,30.9812933
2,Kikuube,Kabwoya,300.0,"5,10,20",1.1608393,31.0311688
3,Kikuube,Kiziranfumbi,300.0,"5,10,20",1.26018426,31.16978512
4,Kikuube,Kyangwali,300.0,"5,10,20",1.107989,30.7439957
5,Kikuube,Kyangwali,300.0,"5,10,20",1.3180933,30.8496
6,Kikuube,Kiziranfumbi,300.0,"10,20",1.2678078,31.1849178
7,Kikuube,Bugambe,300.0,"10,20",1.4881337,31.1613632
8,Kikuube,Kyangwali,300.0,"10,20",1.2245649,30.8532808
9,Kikuube,Kyangwali,300.0,"10,20",1.23654587,30.93584157
10,Kikuube,Kiziranfumbi,300.0,"10,20",1.3370752,31.1405179
11,Kikuube,Kiziranfumbi,300.0,20,1.2747964,31.20703332
12,Kikuube,Kiziranfumbi,300.0,20,1.3003625,31.1497382
13,Kikuube,Kyangwali,250.0,20,1.2233742,30.9195302
14,Kikuube,Kyangwali,300.0,20,1.2347783,30.8505045
15,Kikuube,Kabwoya,300.0,20,1.187885,31.0351683
16,Kikuube,Kyangwali,300.0,20,1.2625846,30.7555155
17,Kikuube,Kabwoya,300.0,20,1.3520961,30.9531542
18,Kikuube,Kabwoya,300.0,20,1.18623646,31.02998617
19,Kikuube,Kiziranfumbi,300.0,20,1.27327642,31.18027865
20,Kikuube,Kyangwali,300.0,20,1.2877135,30.8897288
