#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
0.411525,30.47716,2019 Mar 20 12:00:00 AM,No,,Uganda,Kamwenge,Busiriba,,,Non-Functional,941.0,300.0,False,,KAMWENGE
0.98619113,34.22645374,2010 Apr 19 12:00:00 AM,No,Public Tapstand,Uganda,Mbale,Nyondo,"2,000",Community Management,Non-Functional,,,False,,MBALE
-0.45700437,29.8378945,2010 Apr 26 12:00:00 AM,No,Public Tapstand,Uganda,Rukungiri,Bwambara,"2,000",Community Management,Non-Functional,,,False,,RUKUNGIRI
-0.87631871,30.09733903,2010 May 31 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Nyabihoko,,Community Management,Non-Functional,,,False,,NTUNGAMO
0.43692761,32.23252371,2010 Aug 30 12:00:00 AM,No,Public Tapstand,Uganda,Wakiso,Namayumba,"2,009",Community Management,Non-Functional,,,False,,WAKISO
1.1470442,34.2419112,2010 Jun 02 12:00:00 AM,No,Public Tapstand,Uganda,Sironko,Buwalasi,"2,005",Community Management,Non-Functional,,,False,,SIRONKO
-0.14432344,30.44965537,2010 Jun 20 12:00:00 AM,No,Public Tapstand,Uganda,Kitagwenda,Kicheche,"2,004",Community Management,Non-Functional,,,False,,KITAGWENDA
-0.77272612,30.2835761,2010 Jun 14 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Itojo,"2,000",Community Management,Non-Functional,,,False,,NTUNGAMO
0.02663104,29.77134134,2010 Aug 19 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Mpondwe-Lhubiriha,"1,994",Community Management,Non-Functional,,,False,,KASESE
-0.9477923,30.12327462,2010 Apr 28 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Rugarama,"1,995",Community Management,Non-Functional,,,False,,NTUNGAMO
0.3491429,30.17669883,2010 Oct 05 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Kitswamba,"2,005",Community Management,Non-Functional,,,False,,KASESE
-0.13063599,30.41579298,2010 Jun 22 12:00:00 AM,No,Public Tapstand,Uganda,Kitagwenda,Kicheche,"2,001",Community Management,Non-Functional,,,False,,KITAGWENDA
0.0598509,29.7497367,2010 Sep 15 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Karambi,"1,994",Community Management,Non-Functional,,,False,,KASESE
-0.61221353,29.92763697,2010 Apr 30 12:00:00 AM,No,Public Tapstand,Uganda,Mitooma,Kanyabwanga,"2,001",Community Management,Non-Functional,,,False,,MITOOMA
-0.767065,30.19729596,2010 Apr 26 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Kibatsi,"2,003",Community Management,Non-Functional,,,False,,NTUNGAMO
0.02750848,29.73329077,2010 Aug 07 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Mpondwe-Lhubiriha,"1,994",Community Management,Non-Functional,,,False,,KASESE
-1.17201886,29.94675807,2010 Apr 20 12:00:00 AM,No,Public Tapstand,Uganda,Rubanda,Nyamweru,"1,993",Community Management,Non-Functional,,,False,,RUBANDA
-0.076801667,30.41200167,2018 Feb 28 12:00:00 AM,No,Public Tapstand,Uganda,Kitagwenda,Kicheche,,,Non-Functional,,,False,,KITAGWENDA
0.68913015,29.98785212,2010 Jul 31 12:00:00 AM,No,Public Tapstand,Uganda,Bundibugyo,Nyahuka Town Council,"1,995",Other Institutional Management,Non-Functional,,,False,,BUNDIBUGYO
-0.55243949,30.35280986,2010 May 21 12:00:00 AM,No,Public Tapstand,Uganda,Sheema,Kabwohe Division,"2,001",Community Management,Non-Functional,,,False,,SHEEMA
-0.63769233,30.11902937,2010 May 20 12:00:00 AM,No,Public Tapstand,Uganda,Mitooma,Katenga,"2,006",Community Management,Non-Functional,,,False,,MITOOMA
0.57322848,33.02951394,2010 May 03 12:00:00 AM,No,Public Tapstand,Uganda,Kayunga,Kangulumira,"2,007",Other Institutional Management,Non-Functional,,,False,,KAYUNGA
1.16229445,34.3014704,2010 Jun 11 12:00:00 AM,No,Public Tapstand,Uganda,Sironko,Buyobo,"2,002",Community Management,Non-Functional,,,False,,SIRONKO
2.2667273,33.17789585,2010 May 20 12:00:00 AM,No,Public Tapstand,Uganda,Alebtong,Aloi,"2,005",Community Management,Non-Functional,,,False,,ALEBTONG
-0.98763406,30.12173519,2010 Apr 26 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Rubaare,"1,995",Community Management,Non-Functional,,,False,,NTUNGAMO
0.97699574,34.21666465,2010 Apr 17 12:00:00 AM,No,Public Tapstand,Uganda,Mbale,Nabumali Town Council,,Community Management,Non-Functional,,,False,,MBALE
1.10202417,34.22588756,2010 Apr 16 12:00:00 AM,No,Public Tapstand,Uganda,Mbale,Bukonde,"2,004",Community Management,Non-Functional,,,False,,MBALE
3.615e-05,29.74392751,2010 Jun 25 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Isango,"1,995",Community Management,Non-Functional,,,False,,KASESE
0.80155843,30.10896494,2010 Jul 14 12:00:00 AM,No,Public Tapstand,Uganda,Bundibugyo,Ntotoro,"2,008",Other Institutional Management,Non-Functional,,,False,,BUNDIBUGYO
0.06137807,29.75085882,2010 Sep 15 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Karambi,"1,994",Community Management,Non-Functional,,,False,,KASESE
2.87193238,33.4867575,2010 Oct 06 12:00:00 AM,No,Public Tapstand,Uganda,Agago,Lapono,"2,002",Community Management,Non-Functional,,,False,,AGAGO
0.65574725,30.02911319,2010 Aug 07 12:00:00 AM,No,Public Tapstand,Uganda,Bundibugyo,Buganikire Town Councili,"1,996",Community Management,Non-Functional,,250.0,False,,BUNDIBUGYO
0.6942647,32.03958848,2010 Apr 16 12:00:00 AM,No,Public Tapstand,Uganda,Kiboga,Bukomero Town Council,"2,004",Other Institutional Management,Non-Functional,,,False,,KIBOGA
-1.17925433,30.00522815,2010 Apr 22 12:00:00 AM,No,Public Tapstand,Uganda,Rubanda,Nyamweru,"1,996",Community Management,Non-Functional,,,False,,RUBANDA
0.02025113,29.77275047,2010 Jun 25 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Mpondwe-Lhubiriha,"1,994",Community Management,Non-Functional,,,False,,KASESE
-0.7233269,30.51564239,2010 Oct 09 12:00:00 AM,No,Public Tapstand,Uganda,Rwampara,Rugando,"2,004",Community Management,Non-Functional,,,False,,RWAMPARA
-1.2264229,29.82587603,2010 Apr 26 12:00:00 AM,No,Public Tapstand,Uganda,Rubanda,Muko,"2,000",Community Management,Non-Functional,,,False,,RUBANDA
0.0771036,29.72823018,2010 Sep 17 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Karambi,"1,995",Community Management,Non-Functional,,,False,,KASESE
2.41458755,30.98564402,2010 May 06 12:00:00 AM,No,Public Tapstand,Uganda,Zombo,Paidha Town Council,"2,006",Community Management,Non-Functional,,,False,,ZOMBO
-0.43090328,30.35018073,2010 May 21 12:00:00 AM,No,Public Tapstand,Uganda,Buhweju,Burere,"2,001",Community Management,Non-Functional,,,False,,BUHWEJU
-0.92184398,30.52820884,2010 Oct 09 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Rukoni East,"2,001",Community Management,Non-Functional,,,False,,NTUNGAMO
-0.87950783,30.12486312,2010 Aug 05 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Nyabihoko,"2,004",Community Management,Non-Functional,,,False,,NTUNGAMO
3.00096316,32.14220185,2010 May 11 12:00:00 AM,No,Public Tapstand,Uganda,Amuru,Pabo,"2,006",Community Management,Non-Functional,,,False,,AMURU
-0.63092044,29.89007166,2010 Apr 30 12:00:00 AM,No,Public Tapstand,Uganda,Rukungiri,Ruhinda,"2,004",Community Management,Non-Functional,,,False,,RUKUNGIRI
-0.7634419,30.22362768,2010 Apr 26 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Itojo,"2,003",Community Management,Non-Functional,,,False,,NTUNGAMO
2.87055833,33.48426457,2010 Oct 06 12:00:00 AM,No,Public Tapstand,Uganda,Agago,Lapono,"2,003",Community Management,Non-Functional,,,False,,AGAGO
0.39852985,30.16162145,2010 Aug 10 12:00:00 AM,No,Public Tapstand,Uganda,Kasese,Kyabarungira,"2,003",Community Management,Non-Functional,,,False,,KASESE
-0.89839211,30.13545191,2010 Apr 28 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Nyabihoko,"1,995",Other Institutional Management,Non-Functional,,,False,,NTUNGAMO
-0.14686691,30.4036895,2010 Jun 21 12:00:00 AM,No,Public Tapstand,Uganda,Kitagwenda,Kicheche,"2,004",Community Management,Non-Functional,,,False,,KITAGWENDA
-0.98430084,29.98604593,2010 May 04 12:00:00 AM,No,Public Tapstand,Uganda,Rukungiri,Nyarushanje,"2,004",Community Management,Non-Functional,,,False,,RUKUNGIRI
0.2116633,30.4478313,2021 Apr 09 12:00:00 AM,No,Public Tapstand,Uganda,Kamwenge,Kamwenge Town Council,,,Non-Functional,,250.0,False,,KAMWENGE
-0.72771217,30.22764249,2010 Jun 13 12:00:00 AM,No,Public Tapstand,Uganda,Sheema,Kasaana,"1,999",Community Management,Non-Functional,,,False,,SHEEMA
-0.83853035,30.03312385,2010 Apr 20 12:00:00 AM,No,Public Tapstand,Uganda,Rukungiri,Kebisoni,"2,002",Community Management,Non-Functional,,,False,,RUKUNGIRI
0.62872383,30.15882696,2010 May 13 12:00:00 AM,No,Public Tapstand,Uganda,Kabarole,Mugusu,"2,009",Community Management,Non-Functional,,,False,,KABAROLE
-1.21239537,30.13070602,2010 Apr 21 12:00:00 AM,No,Public Tapstand,Uganda,Rukiga,Muhanga Town Council,"2,001",Community Management,Non-Functional,,,False,,RUKIGA
3.65081122,31.73230347,2010 Apr 21 12:00:00 AM,No,Public Tapstand,Uganda,Moyo,Moyo Town Council,"2,004",Community Management,Non-Functional,,,False,,MOYO
-0.86698189,30.47661152,2010 Aug 27 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Nyakyera,"2,004",Community Management,Non-Functional,,,False,,NTUNGAMO
-0.62684099,30.53050749,2010 Aug 11 12:00:00 AM,No,Public Tapstand,Uganda,Rwampara,Rugando,"1,997",Community Management,Non-Functional,,,False,,RWAMPARA
0.95062833,34.21820087,2012 Sep 01 12:00:00 AM,No,Public Tapstand,Uganda,Mbale,Bukiende,"2,011",Community Management,Non-Functional,,,False,,MBALE
-0.95236774,30.12843673,2010 Apr 27 12:00:00 AM,No,Public Tapstand,Uganda,Ntungamo,Rugarama,"2,003",Community Management,Non-Functional,,,False,,NTUNGAMO
-0.77502447,29.68342413,2010 Apr 27 12:00:00 AM,No,Public Tapstand,Uganda,Kanungu,Kihiihi Town Council,"1,998",Community Management,Non-Functional,,,False,,KANUNGU
