k,q,status,served,u5,o1_norm,o2_norm,dist_to_ideal,chosen
5,0.0,Optimal,177139.14440672292,29774.179304475725,1.0000000000176446,0.9999977040454707,2.295954529342246e-06,"[22, 54, 108, 141, 314]"
5,0.25,Optimal,177139.14440697833,29774.159143252684,1.0000000000190865,0.9999970269091996,2.9730908005012136e-06,"[22, 54, 141, 268, 314]"
5,0.5,Optimal,177139.14440754897,29773.316428168328,1.000000000022308,0.9999687234204315,3.127657956848125e-05,"[22, 54, 141, 268, 314]"
5,0.75,Optimal,177139.1444084444,29772.81242229765,1.000000000027363,0.9999517958434075,4.8204156592465125e-05,"[6, 22, 42, 54, 268]"
5,1.0,Optimal,177139.1444081771,29769.354696473994,1.0000000000258538,0.9998356644179359,0.0001643355820640811,"[6, 30, 42, 54, 314]"
10,0.0,Optimal,178639.14440702554,30026.219202999546,1.0000000000029055,0.999998084303089,1.9156969109945625e-06,"[6, 22, 54, 103, 108, 141, 214, 238, 268, 314]"
10,0.25,Optimal,178639.14440571953,30026.211399637217,0.9999999999955946,0.9999978244186418,2.17558135818143e-06,"[6, 22, 54, 103, 108, 141, 214, 268, 289, 314]"
10,0.5,Optimal,178639.14440801513,30025.315981941418,1.000000000008445,0.9999680032821744,3.199671782561198e-05,"[22, 42, 54, 103, 108, 141, 214, 238, 268, 314]"
10,0.75,Optimal,178639.144406278,30025.164744694615,0.9999999999987209,0.9999629664523273,3.7033547672704635e-05,"[6, 22, 42, 54, 141, 214, 238, 268, 289, 314]"
10,1.0,Optimal,178639.14440795226,30021.211628770176,1.0000000000080933,0.9998313112371056,0.00016868876289444242,"[6, 22, 30, 42, 54, 124, 141, 289, 305, 314]"
20,0.0,Optimal,175366.77490010823,29473.50061364688,0.9664143985030669,0.9664824508751723,0.0474491172441178,"[6, 22, 30, 42, 54, 93, 124, 141, 167, 222, 238, 278, 314]"
20,0.25,Optimal,155552.4031740063,26228.93645190093,0.8572210000140743,0.8600880878786701,0.19990294142515191,"[6, 22, 30, 42, 54, 93, 124, 141, 159, 167, 194, 222, 278, 314]"
20,0.5,Optimal,177951.20458219812,29910.212068835986,0.9806567203916519,0.9808029064962803,0.02725235521927037,"[6, 22, 30, 42, 54, 124, 141, 222, 223, 238, 268, 278, 314]"
20,0.75,Optimal,175523.11398949177,29497.804810457797,0.9672759547876891,0.9672794237223505,0.04627633571274677,"[6, 22, 30, 42, 54, 124, 141, 167, 222, 278, 286, 289, 314]"
20,1.0,Optimal,178836.08768877684,30054.964679167017,0.9855331502380519,0.9855495723042277,0.020447606281066788,"[6, 22, 30, 42, 54, 82, 124, 141, 222, 238, 305, 314]"
