k,q,status,served,u5,o1_norm,o2_norm,dist_to_ideal,chosen
5,0.0,Optimal,172637.98404657698,29016.03052625716,1.000000000017575,1.000000000000332,1.757818723522012e-11,"[108, 141, 167, 214, 314]"
5,0.25,Optimal,172637.98404602753,29016.030526160932,1.0000000000143925,0.9999999999970155,1.4698671275725048e-11,"[103, 108, 141, 167, 314]"
5,0.5,Optimal,172637.9840455108,29016.030526073257,1.0000000000113993,0.9999999999939939,1.2884784936092922e-11,"[108, 141, 167, 214, 314]"
5,0.75,Optimal,172637.9840455379,29016.030526078193,1.000000000011556,0.999999999994164,1.2946122176510748e-11,"[108, 141, 167, 214, 314]"
5,1.0,Optimal,172637.98404427242,29007.65208164445,1.000000000004226,0.9997112477326799,0.0002887522673200582,"[6, 30, 42, 124, 167]"
10,0.0,Optimal,174137.98404420656,29269.481375740732,0.999999999994668,0.9999999999936474,8.293678572317994e-12,"[6, 42, 54, 103, 108, 141, 167, 214, 238, 314]"
10,0.25,Optimal,174137.9840451276,29269.481375900603,0.9999999999999573,0.9999999999991095,8.915351226398995e-13,"[6, 42, 54, 103, 108, 141, 167, 214, 238, 314]"
10,0.5,Optimal,174137.98404368915,29269.481375654315,0.9999999999916968,0.999999999990695,1.2471044783193726e-11,"[6, 42, 54, 103, 108, 141, 167, 214, 289, 314]"
10,0.75,Optimal,174137.98404220096,29269.481375402145,0.9999999999831507,0.9999999999820794,2.4597665634095087e-11,"[6, 42, 54, 103, 108, 141, 167, 214, 289, 314]"
10,1.0,Optimal,174137.98404365533,29260.92603891097,0.9999999999915026,0.9997077045231578,0.00029229547684217494,"[6, 30, 42, 54, 124, 141, 167, 289, 305, 314]"
20,0.0,Optimal,177027.25126472567,29749.83485570658,0.9999999999987372,1.0000000000045994,4.7696285404206585e-12,"[6, 30, 42, 47, 54, 103, 108, 124, 141, 167, 200, 208, 214, 238, 262, 278, 281, 289, 305, 314]"
20,0.25,Optimal,177027.25126598595,29749.834855918296,1.0000000000058564,1.000000000011716,1.3098148170408959e-11,"[6, 30, 42, 47, 54, 103, 108, 124, 141, 167, 200, 208, 214, 238, 262, 278, 281, 289, 305, 314]"
20,0.5,Optimal,177027.25126623467,29749.834855963487,1.0000000000072613,1.0000000000132352,1.509625085558062e-11,"[6, 30, 42, 47, 54, 103, 108, 124, 141, 167, 200, 208, 214, 238, 262, 278, 281, 289, 305, 314]"
20,0.75,Optimal,177027.25126567084,29749.83485586793,1.0000000000040763,1.000000000010023,1.0820285689271417e-11,"[6, 30, 42, 47, 54, 103, 108, 124, 141, 167, 200, 208, 214, 238, 262, 278, 281, 289, 305, 314]"
20,1.0,Optimal,177027.25126777324,29747.590891362073,1.0000000000159526,0.9999245722129697,7.542778703029275e-05,"[6, 30, 42, 47, 54, 103, 108, 124, 141, 167, 200, 208, 214, 238, 262, 278, 281, 289, 305, 314]"
